pmid,title,journal,date
34563408,Endocrine-disrupting chemicals and their effects on puberty,Best Pract Res Clin Endocrinol Metab,2021/09/26
32093249,Endocrine-Disrupting Chemicals in Human Fetal Growth,Int J Mol Sci,2020/02/26
33773932,Endocrine-disrupting chemicals and child health,Best Pract Res Clin Endocrinol Metab,2021/03/28
30998239,Transgenerational Effects of Endocrine-Disrupting Chemicals on Male and Female Reproduction,Endocrinology,2019/04/19
29744538,Endocrine-disrupting chemicals and risk of diabetes: an evidence-based review,Diabetologia,2018/05/11
33618984,Endocrine disrupting chemicals and bone,Best Pract Res Clin Endocrinol Metab,2021/02/23
26825073,Polycystic ovary syndrome (PCOS) and endocrine disrupting chemicals (EDCs),Rev Endocr Metab Disord,2016/01/31
33276521,Endocrine-Disrupting Air Pollutants and Their Effects on the Hypothalamus-Pituitary-Gonadal Axis,Int J Mol Sci,2020/12/05
34207527,"Endocrine Disrupting Chemicals, Hormone Receptors, and Acne Vulgaris: A Connecting Hypothesis",Cells,2021/07/02
34690925,Endocrine Disrupting Chemicals and Reproductive Health in Boys and Men,Front Endocrinol (Lausanne),2021/10/25
34200537,Endocrine-Disrupting Chemicals and Early Puberty in Girls,Children (Basel),2021/07/02
33839640,Endocrine disrupting chemical Bisphenol A and its potential effects on female health,Diabetes Metab Syndr,2021/04/11
28292651,Human exposure to endocrine disrupting chemicals: effects on the male and female reproductive systems,Environ Toxicol Pharmacol,2017/03/16
32684823,Endocrine-disrupting chemicals and male reproductive health,Reprod Med Biol,2020/07/21
30875185,Environmental toxins and the impact of other endocrine disrupting chemicals in women's reproductive health,JBRA Assist Reprod,2019/03/16
32249015,Placenta Disrupted: Endocrine Disrupting Chemicals and Pregnancy,Trends Endocrinol Metab,2020/04/07
33449914,Obesity and endocrine-disrupting chemicals,Endocr Connect,2021/01/15
32481506,Endocrine-Disrupting Chemicals and Insulin Resistance in Children,Biomedicines,2020/06/03
33819127,Endocrine disrupting chemicals and breast cancer: a systematic review of epidemiological studies,Crit Rev Food Sci Nutr,2021/04/05
28356401,Exposure to endocrine disruptors during adulthood: consequences for female fertility,J Endocrinol,2017/03/31
35820379,Endocrine-disrupting chemicals,Curr Biol,2022/07/12
36318905,[Endocrine Disrupting Chemicals],Dtsch Med Wochenschr,2022/11/01
30476496,Endocrine-disrupting chemicals: Effects on neuroendocrine systems and the neurobiology of social behavior,Horm Behav,2018/11/27
33388776,Praegnatio Perturbatio-Impact of Endocrine-Disrupting Chemicals,Endocr Rev,2021/01/03
33966978,Exposure to endocrine-disrupting compounds such as phthalates and bisphenol A is associated with an increased risk for obesity,Best Pract Res Clin Endocrinol Metab,2021/05/10
35990020,Endocrine-disrupting activity of mancozeb,Arh Farm (Belgr),2022/08/22
29596967,Parabens and their effects on the endocrine system,Mol Cell Endocrinol,2018/03/30
30984107,Endocrine Disrupting Chemicals: Effects on Endocrine Glands,Front Endocrinol (Lausanne),2019/04/16
29126512,What is an endocrine disruptor?,C R Biol,2017/11/12
33072697,Environmental Endocrine-Disrupting Chemical Exposure: Role in Non-Communicable Diseases,Front Public Health,2020/10/19
34345859,Endocrine disrupting chemicals in the pathogenesis of hypospadias; developmental and toxicological perspectives,Curr Res Toxicol,2021/08/04
34452691,Toxicity testing and endocrine disrupting chemicals,Adv Pharmacol,2021/08/28
33359838,Endocrine disrupting chemicals and metabolic disorders in the liver: What if we also looked at the female side?,Chemosphere,2020/12/28
32108227,"Hypothetical roadmap towards endometriosis: prenatal endocrine-disrupting chemical pollutant exposure, anogenital distance, gut-genital microbiota and subclinical infections",Hum Reprod Update,2020/02/29
34829943,Epigenetic Mechanisms of Endocrine-Disrupting Chemicals in Obesity,Biomedicines,2021/11/27
29126511,"Endocrine-disrupting chemicals, a multifaceted danger",C R Biol,2017/11/12
32268228,Effects of endocrine disrupting chemicals in pigs,Environ Pollut,2020/04/09
32186654,Endocrine-Disrupting Chemicals in Cosmetics-Reply,JAMA Dermatol,2020/03/19
31829784,"Endocrine disrupting chemicals: Impact on human health, wildlife and the environment",Sci Prog,2019/12/13
34452697,"Epigenetics, estrogenic endocrine-disrupting chemicals (EDCs), and the brain",Adv Pharmacol,2021/08/28
33352275,Effects of endocrine disrupting chemicals on myelin development and diseases,Neurotoxicology,2020/12/22
35604630,"Endocrine disrupting chemicals: effects on pituitary, thyroid and adrenal glands",Endocrine,2022/05/23
30881345,Endocrine Disrupting Chemicals: An Occult Mediator of Metabolic Disease,Front Endocrinol (Lausanne),2019/03/19
35163501,Endocrine-Disrupting Chemicals and Their Adverse Effects on the Endoplasmic Reticulum,Int J Mol Sci,2022/02/15
32228218,Thresholds of adversity and their applicability to endocrine disrupting chemicals,Crit Rev Toxicol,2020/04/02
28483365,Endocrine disrupting chemicals and growth of children,Ann Endocrinol (Paris),2017/05/10
33266302,Exposure to Endocrine Disrupting Chemicals and Risk of Breast Cancer,Int J Mol Sci,2020/12/03
27363826,Endocrine-disrupting chemicals and skin manifestations,Rev Endocr Metab Disord,2016/07/02
28980219,Persistent Endocrine-Disrupting Chemicals and Fatty Liver Disease,Curr Environ Health Rep,2017/10/06
34574693,Combined Effects of Different Endocrine-Disrupting Chemicals (EDCs) on Prostate Gland,Int J Environ Res Public Health,2021/09/28
33333918,Adipose Tissue and Endocrine-Disrupting Chemicals: Does Sex Matter?,Int J Environ Res Public Health,2020/12/18
30300430,Endocrine disruptor compounds in environment: As a danger for children health,Pediatr Endocrinol Diabetes Metab,2018/10/10
32973678,GPER as a Receptor for Endocrine-Disrupting Chemicals (EDCs),Front Endocrinol (Lausanne),2020/09/25
34202247,Effects of Endocrine-Disrupting Chemicals on Endometrial Receptivity and Embryo Implantation: A Systematic Review of 34 Mouse Model Studies,Int J Environ Res Public Health,2021/07/02
26184583,"Reproductive endocrine-disrupting effects of triclosan: Population exposure, present evidence and potential mechanisms",Environ Pollut,2015/07/18
34440327,"Environmental Exposure to Endocrine Disrupting Chemicals Influences Genomic Imprinting, Growth, and Metabolism",Genes (Basel),2021/08/27
28758506,"Exposure to modern, widespread environmental endocrine disrupting chemicals and their effect on the reproductive potential of women: an overview of current epidemiological evidence",Hum Fertil (Camb),2017/08/01
35295127,Developmental Exposure to Endocrine Disrupting Chemicals and Its Impact on Cardio-Metabolic-Renal Health,Front Toxicol,2022/03/17
23510680,Endocrine-disrupting chemicals and male reproductive health,Reprod Biomed Online,2013/03/21
30687232,Endocrine Disrupting Chemicals Interfere With Leydig Cell Hormone Pathways During Testicular Descent in Idiopathic Cryptorchidism,Front Endocrinol (Lausanne),2019/01/29
22991565,Endocrine-disrupting chemicals: associated disorders and mechanisms of action,J Environ Public Health,2012/09/20
28526231,Exposures to Endocrine Disrupting Chemicals in Consumer Products-A Guide for Pediatricians,Curr Probl Pediatr Adolesc Health Care,2017/05/21
32146411,"Endocrine disrupting compounds, pharmaceuticals and personal care products in the aquatic environment of China: Which chemicals are the prioritized ones?",Sci Total Environ,2020/03/09
30542324,Role of Endocrine-Disrupting Engineered Nanomaterials in the Pathogenesis of Type 2 Diabetes Mellitus,Front Endocrinol (Lausanne),2018/12/14
26527908,Endocrine disrupting effects of butylated hydroxyanisole (BHA - E320),Clujul Med,2015/11/04
34452687,Endocrine disrupting chemicals (EDCs) and sex steroid receptors,Adv Pharmacol,2021/08/28
28588754,"Endocrine disrupting chemicals in mixture and obesity, diabetes and related metabolic disorders",World J Biol Chem,2017/06/08
28888817,"Mate choice, sexual selection, and endocrine-disrupting chemicals",Horm Behav,2017/09/11
33800806,Dietary Intake of Endocrine Disrupting Substances Presents in Environment and Their Impact on Thyroid Function,Nutrients,2021/04/03
31325560,Identification of potential endocrine disrupting chemicals using gene expression biomarkers,Toxicol Appl Pharmacol,2019/07/21
30633647,Computational prediction models for assessing endocrine disrupting potential of chemicals,J Environ Sci Health C Environ Carcinog Ecotoxicol Rev,2019/01/12
27509913,Endocrine disrupting chemicals as potential risk factor for estrogen-dependent cancers,Pol Arch Med Wewn,2016/08/12
35893263,Research Progress of the Endocrine-Disrupting Effects of Disinfection Byproducts,J Xenobiot,2022/07/27
34565681,Perinatal exposure to endocrine disrupting chemicals and neurodevelopment: How articles of daily use influence the development of our children,Best Pract Res Clin Endocrinol Metab,2021/09/27
29756578,"Endocrine Disrupting Chemical Induced ""Pollution of Metabolic Pathways"": A Case of Shifting Paradigms With Implications for Vascular Diseases",Curr Drug Targets,2018/05/15
28571659,"Gut Microbiota, Endocrine-Disrupting Chemicals, and the Diabetes Epidemic",Trends Endocrinol Metab,2017/06/03
30072426,Mitochondria as target of endocrine-disrupting chemicals: implications for type 2 diabetes,J Endocrinol,2018/08/04
28552550,Endocrine disrupting compounds in drinking water supply system and human health risk implication,Environ Int,2017/05/30
33007571,Assessment of the endocrine-disrupting potential of halogenated parabens: An in silico approach,Chemosphere,2020/10/02
26831296,Endocrine disrupting chemicals (EDCs) and female cancer: Informing the patients,Rev Endocr Metab Disord,2016/02/03
35325096,Endocrine-Disrupting Chemicals and Breast Cancer: Disparities in Exposure and Importance of Research Inclusivity,Endocrinology,2022/03/24
28602118,Effects of Endocrine-Disrupting Chemicals and Epigenetic Modifications in Ovarian Cancer: A Review,Reprod Sci,2017/06/13
33401209,"Effects of endocrine disrupting chemicals in host health: Three-way interactions between environmental exposure, host phenotypic responses, and gut microbiota",Environ Pollut,2021/01/05
34135883,Retraction: Biodegradation of Endocrine-Disrupting Chemicals and Residual Organic Pollutants of Pulp and Paper Mill Effluent by Biostimulation,Front Microbiol,2021/06/17
36422306,"Endocrine Disrupting Compounds (Nonylphenol and Bisphenol A)-Sources, Harmfulness and Laccase-Assisted Degradation in the Aquatic Environment",Microorganisms,2022/11/24
33003396,Suitability of Immobilized Systems for Microbiological Degradation of Endocrine Disrupting Compounds,Molecules,2020/10/02
35952990,"Endocrine disrupting chemicals in the environment: Environmental sources, biological effects, remediation techniques, and perspective",Environ Pollut,2022/08/11
25646754,Why endocrine disrupting chemicals (EDCs) challenge traditional risk assessment and how to respond,J Hazard Mater,2015/02/04
34364451,Analytical methods for the determination of endocrine disrupting chemicals in cosmetics and personal care products: A review,Talanta,2021/08/08
35873371,Protective effects of polyphenols against endocrine disrupting chemicals,Food Sci Biotechnol,2022/07/25
30228382,Environmental non-persistent endocrine-disrupting chemicals exposure and reproductive hormones levels in adult men,Int J Occup Med Environ Health,2018/09/20
33466783,Endocrine-Disrupting Organochlorine Pesticides in Human Breast Milk: Changes during Lactation,Nutrients,2021/01/20
29255381,Endocrine disrupting compounds exposure and testis development in mammals,EXCLI J,2017/12/20
31914870,Wnt pathway: A mechanism worth considering in endocrine disrupting chemical action,Toxicol Ind Health,2020/01/10
34134123,Erectile Dysfunction in Men on the Rise: Is There a Link with Endocrine Disrupting Chemicals?,Sex Dev,2021/06/16
35255767,Impact of endocrine disrupting chemicals on neurodevelopment: the need for better testing strategies for endocrine disruption-induced developmental neurotoxicity,Expert Rev Endocrinol Metab,2022/03/08
32771829,Using assessment criteria for pesticides to evaluate the endocrine disrupting potential of non-pesticide chemicals: Case butylparaben,Environ Int,2020/08/11
34492982,Tetrabromobisphenol A induced reproductive endocrine-disrupting effects in mussel Mytilus galloprovincialis,J Hazard Mater,2021/09/08
16298040,Endocrine disrupting compounds and prostate cancer,Cancer Lett,2005/11/22
33946662,Epigenetic Modifications Associated with Exposure to Endocrine Disrupting Chemicals in Patients with Gestational Diabetes Mellitus,Int J Mol Sci,2021/05/05
32140155,Immune Cells in the Uterine Remodeling: Are They the Target of Endocrine Disrupting Chemicals?,Front Immunol,2020/03/07
27473347,Environmental exposure to endocrine-disrupting chemicals and miscarriage,Fertil Steril,2016/07/31
34785404,Effects of common environmental endocrine-disrupting chemicals on zebrafish behavior,Water Res,2021/11/17
29317319,The molecular mechanisms of action of the endocrine disrupting chemical bisphenol A in the development of cancer,Gene,2018/01/11
27285165,Exposure to endocrine disrupting chemicals and neurodevelopmental alterations,Andrology,2016/06/11
33523436,Effects of Environmental Endocrine-Disrupting Chemicals on Female Reproductive Health,Adv Exp Med Biol,2021/02/01
23472906,Endocrine-disrupting chemicals: how much of a health threat?,Lancet,2013/03/12
27527194,Recent Advances on Endocrine Disrupting Effects of UV Filters,Int J Environ Res Public Health,2016/08/17
24650234,Biodegradation of endocrine-disrupting compounds by ligninolytic fungi: mechanisms involved in the degradation,Environ Microbiol,2014/03/22
34452693,Inappropriately sweet: Environmental endocrine-disrupting chemicals and the diabetes pandemic,Adv Pharmacol,2021/08/28
34452686,"Endocrine disrupting chemicals and reproductive disorders in women, men, and animal models",Adv Pharmacol,2021/08/28
33730294,Endocrine disrupting potency and toxicity of novel sophorolipid quaternary ammonium salts,Ecotoxicology,2021/03/17
29140722,Reproductive Impacts of Endocrine-Disrupting Chemicals on Wildlife Species: Implications for Conservation of Endangered Species,Annu Rev Anim Biosci,2017/11/16
24369128,Human biological monitoring of suspected endocrine-disrupting compounds,Asian J Androl,2013/12/27
33022499,An inadvertent issue of human retina exposure to endocrine disrupting chemicals: A safety assessment,Chemosphere,2020/10/06
25091906,Impacts of endocrine disrupting chemicals on reproduction in wildlife,Adv Exp Med Biol,2014/08/06
27175970,To Cull or Not To Cull? Considerations for Studies of Endocrine-Disrupting Chemicals,Endocrinology,2016/05/14
36526827,Endocrine-disrupting chemicals (EDCs) and cancer: new perspectives on an old relationship,J Endocrinol Invest,2022/12/16
28566129,Foreword: Endocrine Disrupting Chemicals in Consumer Products,Curr Probl Pediatr Adolesc Health Care,2017/06/02
24278530,Toxicological mechanism of endocrine disrupting chemicals:is estrogen receptor involved?,Toxicol Res,2013/11/27
35778660,Implications of endocrine-disrupting chemicals on polycystic ovarian syndrome: A comprehensive review,Environ Sci Pollut Res Int,2022/07/01
30963852,A restatement of the natural science evidence base on the effects of endocrine disrupting chemicals on wildlife,Proc Biol Sci,2019/04/10
33753303,Assessing potential indicator of endocrine-disrupting property of chemicals using soil invertebrates,Comp Biochem Physiol C Toxicol Pharmacol,2021/03/23
29734751,A Novel Action of Endocrine-Disrupting Chemicals on Wildlife; DDT and Its Derivatives Have Remained in the Environment,Int J Mol Sci,2018/05/09
35939362,Sex-specific Effects of Endocrine-disrupting Chemicals on Brain Monoamines and Cognitive Behavior,Endocrinology,2022/08/08
35291208,Endocrine-Disrupting Chemical Exposures in Pregnancy: a Sensitive Window for Later-Life Cardiometabolic Health in Women,Curr Epidemiol Rep,2022/03/16
33307454,Recent advances in the removal of pharmaceuticals and endocrine-disrupting compounds in the aquatic system: A case of polymer inclusion membranes,J Hazard Mater,2020/12/11
29710015,[Effect of the Metabolic Modification of Environmental Chemicals on Endocrine-disrupting Activity],Yakugaku Zasshi,2018/05/01
32224362,Enantioselective endocrine-disrupting effects of the phenylpyrazole chiral insecticides in vitro and in silico,Chemosphere,2020/04/01
34953884,Methods for the analysis of endocrine disrupting chemicals in selected environmental matrixes,Environ Res,2021/12/26
31833476,Effects of Indoor Endocrine-Disrupting Chemicals on Childhood Rhinitis,J Investig Allergol Clin Immunol,2019/12/14
33592464,Mapping multiple endocrine disrupting activities in Virginia rivers using effect-based assays,Sci Total Environ,2021/02/16
30328673,Ligninolytic enzymes: Versatile biocatalysts for the elimination of endocrine-disrupting chemicals in wastewater,Microbiologyopen,2018/10/18
34509487,Effects of endocrine disrupting chemicals on gonad development: Mechanistic insights from fish and mammals,Environ Res,2021/09/12
29168846,"Rapid, portable detection of endocrine disrupting chemicals through ligand-nuclear hormone receptor interactions",Analyst,2017/11/24
33590385,Endocrine-disrupting organochlorine xenobiotics in fish products imported from Asia-an assessment of human health risk,Environ Monit Assess,2021/02/16
22871600,Immunomodulatory effects of environmental endocrine disrupting chemicals,Kaohsiung J Med Sci,2012/08/09
25549947,Advancing research on endocrine disrupting chemicals in breast cancer: Expert panel recommendations,Reprod Toxicol,2015/01/01
28892772,Multi-class of endocrine disrupting compounds in aquaculture ecosystems and health impacts in exposed biota,Chemosphere,2017/09/12
36006104,Health Effects Associated with Exposures to Endocrine Disrupting Chemicals,Toxics,2022/08/25
30042138,Following Endocrine-Disrupting Effects on Gene Expression in Xenopus laevis,Cold Spring Harb Protoc,2018/07/26
29589387,Evidence of the Possible Harm of Endocrine-Disrupting Chemicals in Humans: Ongoing Debates and Key Issues,Endocrinol Metab (Seoul),2018/03/29
23141316,Analysis of synthetic endocrine-disrupting chemicals in food: a review,Talanta,2012/11/13
23709001,Male pubertal development: are endocrine-disrupting compounds shifting the norms?,J Endocrinol,2013/05/28
23202677,Analysis of endocrine disrupting pesticides by capillary GC with mass spectrometric detection,Int J Environ Res Public Health,2012/12/04
31861598,Perturbation of Nuclear Hormone Receptors by Endocrine Disrupting Chemicals: Mechanisms and Pathological Consequences of Exposure,Cells,2019/12/22
20688618,Impact of environmental endocrine disrupting chemicals on the development of obesity,Hormones (Athens),2010/08/07
35436567,Cerebral concentration and toxicity of endocrine disrupting chemicals: The implication of blood-brain interfaces,Neurotoxicology,2022/04/18
35887328,Synthesis of Metal-Organic Frameworks Quantum Dots Composites as Sensors for Endocrine-Disrupting Chemicals,Int J Mol Sci,2022/07/27
35994907,Endocrine-disrupting potential and toxicological effect of para-phenylphenol on Daphnia magna,Ecotoxicol Environ Saf,2022/08/22
27692877,Impact of endocrine disrupting chemicals on onset and development of female reproductive disorders and hormone-related cancer,Reprod Biol,2016/10/04
33360142,Endocrine disrupting effects of copper and cadmium in the oocytes of the Antarctic Emerald rockcod Trematomus bernacchii,Chemosphere,2020/12/28
10680769,"Health effects of endocrine-disrupting chemicals on wildlife, with special reference to the European situation",Crit Rev Toxicol,2000/02/19
8080506,Developmental effects of endocrine-disrupting chemicals in wildlife and humans,Environ Health Perspect,1993/10/01
33922135,Impact of Endocrine-Disrupting Chemicals in Breast Milk on Postpartum Depression in Korean Mothers,Int J Environ Res Public Health,2021/04/30
31649913,Editorial: Exposure to Endocrine-Disrupting Chemicals and Cardiometabolic Disease: A Developmental Origins Approach,Front Public Health,2019/10/26
12955281,Endocrine disrupting compounds and other emerging contaminants in the environment: a survey on new monitoring strategies and occurrence data,Anal Bioanal Chem,2003/09/05
33677314,"Stereoisomeric selectivity in the endocrine-disrupting potential of cypermethrin using in vitro, in vivo, and in silico assays",J Hazard Mater,2021/03/07
33092513,Endocrine Disruptors and the Induction of Insulin Resistance,Curr Diabetes Rev,2020/10/23
34412519,Systematic review of prenatal exposure to endocrine disrupting chemicals and autism spectrum disorder in offspring,Autism,2021/08/20
35565013,Environmental Exposure to Non-Persistent Endocrine Disrupting Chemicals and Endometriosis: A Systematic Review,Int J Environ Res Public Health,2022/05/14
28578073,Identification of endocrine disrupting chemicals acting on human aromatase,Biochim Biophys Acta Proteins Proteom,2017/06/05
35276610,The associations between endocrine disrupting chemicals and markers of inflammation and immune responses: A systematic review and meta-analysis,Ecotoxicol Environ Saf,2022/03/11
25489493,Early-life Exposure to Endocrine Disrupting Chemicals and Later-life Health Outcomes: An Epigenetic Bridge?,Aging Dis,2014/12/10
15526857,Experimental designs to assess endocrine disrupting effects in invertebrates. A review,Ecotoxicology,2004/11/06
26740804,Molecular Mechanisms of Action of BPA,Dose Response,2016/01/08
11665649,Incorporation of endocrine disruption into chemical hazard scoring for pollution prevention and current list of endocrine disrupting chemicals,Drug Chem Toxicol,2001/10/23
34734213,"Endocrine Disrupting Chemicals, Transgenerational Epigenetics and Metabolic Diseases",EC Endocrinol Metab Res,2021/11/04
35255588,[The effect of Endocrine disrupting chemicals on myocardial fibrosis and related mechanism],Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,2022/03/07
34990614,"An introduction to the sources, fate, occurrence and effects of endocrine disrupting chemicals released into the environment",Environ Res,2022/01/06
23735815,Ecological risk of estrogenic endocrine disrupting chemicals in sewage plant effluent and reclaimed water,Environ Pollut,2013/06/06
30609499,The endocrine-disrupting potential of four chlorophenols by in vitro and in silico assay,Chemosphere,2019/01/06
29760680,Disruption in Thyroid Signaling Pathway: A Mechanism for the Effect of Endocrine-Disrupting Chemicals on Child Neurodevelopment,Front Endocrinol (Lausanne),2018/05/16
28215500,Environmental epigenomics: Current approaches to assess epigenetic effects of endocrine disrupting compounds (EDC's) on human health,Environ Toxicol Pharmacol,2017/02/21
31585155,The challenging use and interpretation of blood biomarkers of exposure related to lipophilic endocrine disrupting chemicals in environmental health studies,Mol Cell Endocrinol,2019/10/05
34883459,Allosteric binding on nuclear receptors: Insights on screening of non-competitive endocrine-disrupting chemicals,Environ Int,2021/12/09
34843942,"In utero exposure to endocrine-disrupting chemicals, maternal factors and alterations in the epigenetic landscape underlying later-life health effects",Environ Toxicol Pharmacol,2021/11/29
22712546,Biological and enzymatic treatment of bisphenol A and other endocrine disrupting compounds: a review,Crit Rev Biotechnol,2012/06/21
34418446,Role of endocrine disrupting chemicals in children's neurodevelopment,Environ Res,2021/08/21
29082760,White rot fungi and advanced combined biotechnology with nanomaterials: promising tools for endocrine-disrupting compounds biotransformation,Crit Rev Biotechnol,2017/10/31
34718023,Processing of natural fibre and method improvement for removal of endocrine-disrupting compounds,Chemosphere,2021/10/31
35573275,Azole Fungicides and Their Endocrine Disrupting Properties: Perspectives on Sex Hormone-Dependent Reproductive Development,Front Toxicol,2022/05/16
15586879,An alternative mode of action of endocrine-disrupting chemicals and chemoprevention,J Toxicol Environ Health B Crit Rev,2004/12/14
34328888,Sorption of endocrine disrupting compounds onto polyamide microplastics under different environmental conditions: Behaviour and mechanism,Sci Total Environ,2021/07/30
25982118,Implication of microRNA deregulation in the response of vertebrates to endocrine disrupting chemicals,Environ Toxicol Chem,2015/05/19
15273660,Endocrine disrupting pesticides: a leading cause of cancer among rural people in Pakistan,Exp Oncol,2004/07/27
33324495,Differential susceptibility to endocrine disruptor-induced epimutagenesis,Environ Epigenet,2020/12/16
35219657,A review on advances in removal of endocrine disrupting compounds from aquatic matrices: Future perspectives on utilization of agri-waste based adsorbents,Sci Total Environ,2022/02/27
27412149,A proposed framework for the systematic review and integrated assessment (SYRINA) of endocrine disrupting chemicals,Environ Health,2016/07/15
32028606,Involvement of the Endocrine-Disrupting Chemical Bisphenol A (BPA) in Human Placentation,J Clin Med,2020/02/08
36361935,"Recent Advances in the Synthesis, Characterization, and Application of Carbon Nanomaterials for the Removal of Endocrine-Disrupting Chemicals: A Review",Int J Mol Sci,2022/11/11
32903210,Environmental exposures to endocrine disrupting chemicals (EDCs) and their role in endometriosis: a systematic literature review,Rev Environ Health,2020/09/09
31721116,High-Throughput Analysis of Endocrine-Disrupting Compounds Using BLYES and BLYAS Bioluminescent Yeast Bioassays,Methods Mol Biol,2019/11/14
33297196,Screening of estrogenic endocrine-disrupting chemicals in meat products based on the detection of vitellogenin by enzyme-linked immunosorbent assay,Chemosphere,2020/12/10
32330726,"Endocrine disrupting compounds in the middle and lower reaches of the Lhasa River Basin: Occurrence, distribution, and risk assessment",Sci Total Environ,2020/04/25
34452689,Impact of gestational exposure to endocrine disrupting chemicals on pregnancy and birth outcomes,Adv Pharmacol,2021/08/28
33794056,The occurrence of selected endocrine-disrupting chemicals in water and sediments from an urban lagoon in Southern Italy,Water Environ Res,2021/04/01
35525031,Potential of biocompatible calcium-based metal-organic frameworks for the removal of endocrine-disrupting compounds in aqueous environments,Water Res,2022/05/07
31784268,"Occurrence of endocrine disrupting compounds in mariculture sediment of Pulau Kukup, Johor, Malaysia",Mar Pollut Bull,2019/12/01
28986177,Weight of evidence approaches for the identification of endocrine disrupting properties of chemicals: Review and recommendations for EU regulatory application,Regul Toxicol Pharmacol,2017/10/08
16506651,[Exposure to endocrine disrupting chemicals and children's health: problems in epidemiological studies],Nihon Eiseigaku Zasshi,2006/03/02
27378155,Infant and mother related outcomes from exposure to metals with endocrine disrupting properties during pregnancy,Sci Total Environ,2016/07/06
33799614,Predicting Potential Endocrine Disrupting Chemicals Binding to Estrogen Receptor α (ERα) Using a Pipeline Combining Structure-Based and Ligand-Based in Silico Methods,Int J Mol Sci,2021/04/03
14564440,Immunochemical determination of xenobiotics with endocrine disrupting effects,Anal Bioanal Chem,2003/10/18
27660460,The Increasing Prevalence in Intersex Variation from Toxicological Dysregulation in Fetal Reproductive Tissue Differentiation and Development by Endocrine-Disrupting Chemicals,Environ Health Insights,2016/09/24
33640887,A Putative Adverse Outcome Pathway Network for Disrupted Female Pubertal Onset to Improve Testing and Regulation of Endocrine Disrupting Chemicals,Neuroendocrinology,2021/02/28
29705122,Measurement of endocrine disrupting and asthma-associated chemicals in hair products used by Black women,Environ Res,2018/04/30
28185731,"Phenolic endocrine-disrupting compounds in the Pearl River Estuary: Occurrence, bioaccumulation and risk assessment",Sci Total Environ,2017/02/11
28622647,Endocrine-disrupting activity of per- and polyfluoroalkyl substances: Exploring combined approaches of ligand and structure based modeling,Chemosphere,2017/06/17
10467725,Environmental and biological monitoring of endocrine disrupting chemicals,Chemosphere,1999/09/01
31349169,A curated knowledgebase on endocrine disrupting chemicals and their biological systems-level perturbations,Sci Total Environ,2019/07/27
32150676,New Insights in the Endocrine Disrupting Effects of Three Primary Metabolites of Organophosphate Flame Retardants,Environ Sci Technol,2020/03/10
24843625,Extension of the mitochondria dysfunction hypothesis of metabolic syndrome to atherosclerosis with emphasis on the endocrine-disrupting chemicals and biophysical laws,J Diabetes Investig,2014/05/21
29857897,The potential role of endocrine disrupting chemicals in cellulite,Med Hypotheses,2018/06/03
32582033,Editorial: Steroids and the Brain,Front Endocrinol (Lausanne),2020/06/26
36394030,Novel bio-catalytic degradation of endocrine disrupting compounds in wastewater,Front Bioeng Biotechnol,2022/11/17
36332405,Endocrine disrupting potential of selected azole and organophosphorus pesticide products through suppressing the dimerization of human androgen receptor in genomic pathway,Ecotoxicol Environ Saf,2022/11/04
34265562,"A comprehensive assessment of endocrine-disrupting chemicals in an Indian food basket: Levels, dietary intakes, and comparison with European data",Environ Pollut,2021/07/15
35751956,Endocrine-disrupting metabolic activation of 2-nitrofluorene catalyzed by human cytochrome P450 1A1: A QM/MM approach,Environ Int,2022/06/25
16506652,[Effects of endocrine disrupting chemicals on male reproductive function--epidemiological views],Nihon Eiseigaku Zasshi,2006/03/02
11605324,Occupational exposure to endocrine-disrupting pesticides and the potential for developing hormonal cancers,J Environ Health,2001/10/19
27482660,TRIENNIAL REPRODUCTION SYMPOSIUM: Environmental programming of reproduction during fetal life: Effects of intrauterine position and the endocrine disrupting chemical bisphenol A,J Anim Sci,2016/08/03
27929035,Endocrine disruptors: The burden of endocrine-disrupting chemicals in the USA,Nat Rev Endocrinol,2016/12/09
10467722,Nondestructive biomarkers of exposure to endocrine disrupting chemicals in endangered species of wildlife,Chemosphere,1999/09/01
32861950,Bisphenols emerging in Norwegian and Czech aquatic environments show transthyretin binding potency and other less-studied endocrine-disrupting activities,Sci Total Environ,2020/08/31
27389644,Endocrine disruption by dietary phyto-oestrogens: impact on dimorphic sexual systems and behaviours,Proc Nutr Soc,2016/07/09
34520754,Mechanistic insight into human androgen receptor-mediated endocrine-disrupting potentials by a stable bioluminescence resonance energy transfer-based dimerization assay,Chem Biol Interact,2021/09/14
10065088,[Endocrine disrupting chemicals and carcinogenicity],Gan To Kagaku Ryoho,1999/03/05
35413382,Endocrine-disrupting chemicals affect Sertoli TM4 cell functionality through dysregulation of gap junctional intercellular communication in vitro,Food Chem Toxicol,2022/04/12
31261471,Early-life exposure to endocrine-disrupting chemicals and pubertal development in girls,Ann Pediatr Endocrinol Metab,2019/07/02
33790858,Controversies on Endocrine and Reproductive Effects of Glyphosate and Glyphosate-Based Herbicides: A Mini-Review,Front Endocrinol (Lausanne),2021/04/01
30611075,Enantioselectivity in endocrine disrupting effects of four cypermethrin enantiomers based on in vitro models,Chemosphere,2019/01/06
36029816,Novel control strategies for the endocrine-disrupting effect of PAEs to pregnant women in traffic system,Sci Total Environ,2022/08/27
