pmid,title,journal,date
35247137,"Relationships Between Urinary Metals and Diabetes Traits Among Mexican Americans in Starr County, Texas, USA",Biol Trace Elem Res,2022/03/05
35148339,"Phthalate exposure among U.S. college-aged women: Biomonitoring in an undergraduate student cohort (2016-2017) and trends from the National Health and Examination Survey (NHANES, 2005-2016)",PLoS One,2022/02/11
35114227,"Associations between exposure to a mixture of phenols, parabens, and phthalates and sex steroid hormones in children 6-19 years from NHANES, 2013-2016",Sci Total Environ,2022/02/03
34755506,"Effects of chronic exposure to bisphenol A in adult female mice on social behavior, vasopressin system, and estrogen membrane receptor (GPER1)",Eur J Histochem,2021/11/10
34626654,Reproductive stimulation and energy allocation variation of BDE-47 and its derivatives on Daphnia magna,Chemosphere,2021/10/09
34626635,Contamination and ecological risks of steroid metabolites require more attention in the environment: Evidence from the fishing ports,Sci Total Environ,2021/10/09
34502975,Preparation of a Novel Resin Based Covalent Framework Material and Its Application in the Determination of Phenolic Endocrine Disruptors in Beverages by SPE-HPLC,Polymers (Basel),2021/09/10
34467868,A hybrid computational intelligence approach for bioremediation of amoxicillin based on fungus activities from soil resources and aflatoxin B1 controls,J Environ Manage,2021/09/01
34120034,Immunohistochemical expression of aromatase cyp19a1a and cyp19a1b in the ovary and brain of zebrafish (Danio rerio) exposed to different concentrations of bisphenol A,Aquat Toxicol,2021/06/13
34047317,An automatic flow-through system for exploration of the human bioaccessibility of endocrine disrupting compounds from microplastics,Analyst,2021/05/28
34038751,Gonadal sex steroid hormone secretion after exposure of male rats to estrogenic chemicals and their combinations,Mol Cell Endocrinol,2021/05/26
33724348,Exposure to Propylparaben During Pregnancy and Lactation Induces Long-Term Alterations to the Mammary Gland in Mice,Endocrinology,2021/03/16
33360234,Bioavailability and impacts of estrogenic compounds from suspended sediment on rainbow trout (Oncorhynchus mykiss),Aquat Toxicol,2020/12/28
33297044,Bisphenol A attenuates testosterone production in Leydig cells via the inhibition of NR1D1 signaling,Chemosphere,2020/12/10
33254417,"Detrimental effects of long-term exposure to heavy metals on histology, size and trace elements of testes and sperm parameters in Kermani Sheep",Ecotoxicol Environ Saf,2020/12/01
33161305,Mono-2-ethylhexyl phthalate drives progression of PINK1-parkin-mediated mitophagy via increasing mitochondrial ROS to exacerbate cytotoxicity,Redox Biol,2020/11/08
33129917,Prenatal exposure to an environmentally relevant phthalate mixture accelerates biomarkers of reproductive aging in a multiple and transgenerational manner in female mice,Reprod Toxicol,2020/11/01
32818502,Photoelectrocatalytic degradation of 17α-ethinylestradiol and estrone under UV and visible light using nanotubular oxide arrays grown on Ti-0.5wt%W,Environ Res,2020/08/21
32805339,Bisphenol-A exposure during pregnancy alters pancreatic β-cell division and mass in male mice offspring: A role for ERβ,Food Chem Toxicol,2020/08/18
32645544,Assessing population exposure to phthalate plasticizers in thirteen Spanish cities through the analysis of wastewater,J Hazard Mater,2020/07/10
32598325,Chemical mixtures and neurobehavior: a review of epidemiologic findings and future directions,Rev Environ Health,2020/06/30
32339907,Chronic exposure of bisphenol A impairs carbohydrate and lipid metabolism by altering corresponding enzymatic and metabolic pathways,Environ Toxicol Pharmacol,2020/04/28
32283250,Prenatal perfluoroalkyl substances and newborn anogenital distance in a Canadian cohort,Reprod Toxicol,2020/04/14
32249967,Pregnancy intention and phthalate metabolites among pregnant women in The Infant Development and Environment Study cohort,Paediatr Perinat Epidemiol,2020/04/07
32032604,"Contaminants, prolactin and parental care in an Arctic seabird: Contrasted associations of perfluoroalkyl substances and organochlorine compounds with egg-turning behavior",Gen Comp Endocrinol,2020/02/08
31759976,"Transcription pattern of reproduction relevant genes along the brain-pituitary-gonad axis of female, male and intersex thicklip grey mullets, Chelon labrosus, from a polluted harbor",Gen Comp Endocrinol,2019/11/25
31672375,n-Butylparaben exposure through gestation and lactation impairs spermatogenesis and steroidogenesis causing reduced fertility in the F1 generation male rats,Environ Pollut,2019/11/02
31613966,Maternal Exposure to Environmental Disruptors and Sexually Dimorphic Changes in Maternal and Neonatal Oxidative Stress,J Clin Endocrinol Metab,2019/10/16
31421232,Genistein and estradiol have common and specific impacts on the sea bass (Dicentrarchus labrax) skin-scale barrier,J Steroid Biochem Mol Biol,2019/08/18
31004310,"Novel insights of elevated systemic levels of bisphenol-A (BPA) linked to poor glycemic control, accelerated cellular senescence and insulin resistance in patients with type 2 diabetes",Mol Cell Biochem,2019/04/21
30544905,Socio-Economic Status and Health: Evaluation of Human Biomonitored Chemical Exposure to Per- and Polyfluorinated Substances across Status,Int J Environ Res Public Health,2018/12/15
30458375,Maternal urinary metabolites of PAHs and its association with adverse birth outcomes in an intensive e-waste recycling area,Environ Pollut,2018/11/21
30390549,Effects of 17α‑ethinylestradiol on caudal fin regeneration in zebrafish larvae,Sci Total Environ,2018/11/04
30366465,"De Novo Hepatic Transcriptome Assembly and Systems Level Analysis of Three Species of Dietary Fish, Sardinops sagax, Scomber japonicus, and Pleuronichthys verticalis",Genes (Basel),2018/10/28
29973080,Methoxychlor metabolite HPTE alters viability and differentiation of embryonic thymocytes from C57BL/6 mice,J Immunotoxicol,2018/07/06
29922230,The Possible Impact of Antenatal Exposure to Ubiquitous Phthalates Upon Male Reproductive Function at 20 Years of Age,Front Endocrinol (Lausanne),2018/06/21
29709864,"Identification, contribution, and estrogenic activity of potential EDCs in a river receiving concentrated livestock effluent in Southern Taiwan",Sci Total Environ,2018/05/01
29666409,"Exposure to Phthalate, an Endocrine Disrupting Chemical, Alters the First Trimester Placental Methylome and Transcriptome in Women",Sci Rep,2018/04/19
29069384,A Prospective Cohort Study of Prenatal Diethylstilbestrol Exposure and Cardiovascular Disease Risk,J Clin Endocrinol Metab,2017/10/26
28750289,"Activation of sodium persulfate by magnetic carbon xerogels (CX/CoFe) for the oxidation of bisphenol A: Process variables effects, matrix effects and reaction pathways",Water Res,2017/07/28
28720389,Exposure to pesticide as a risk factor for depression: A population-based longitudinal study in Korea,Neurotoxicology,2017/07/20
28472747,"Development and validation of an OECD reproductive toxicity test guideline with the mudsnail Potamopyrgus antipodarum (Mollusca, Gastropoda)",Chemosphere,2017/05/05
28406917,"Methylomic changes in individuals with psychosis, prenatally exposed to endocrine disrupting compounds: Lessons from diethylstilbestrol",PLoS One,2017/04/14
28282617,"Adverse effects of BDE-47 on life cycle parameters, antioxidant system, and activation of MAPK signaling pathway in the rotifer Brachionus koreanus",Aquat Toxicol,2017/03/11
27723571,Effects of chronic dietary petroleum exposure on reproductive development in polar cod (Boreogadus saida),Aquat Toxicol,2016/10/11
27581495,Methylparaben stimulates tumor initiating cells in ER+ breast cancer models,J Appl Toxicol,2016/09/02
27089241,Low-dose effect of developmental bisphenol A exposure on sperm count and behaviour in rats,Andrology,2016/04/19
26894293,Evaluation of emerging contaminants in a drinking water treatment plant using electrodialysis reversal technology,J Hazard Mater,2016/02/20
26688267,The assessment of WWTP performance: Towards a jigsaw puzzle evaluation?,Chemosphere,2015/12/22
26608183,"Metabolism and elimination of methyl, iso- and n-butyl paraben in human urine after single oral dosage",Arch Toxicol,2015/11/27
26517871,Dynamic Metabolic Disruption in Rats Perinatally Exposed to Low Doses of Bisphenol-A,PLoS One,2015/10/31
26372666,Cross-Talk in the Female Rat Mammary Gland: Influence of Aryl Hydrocarbon Receptor on Estrogen Receptor Signaling,Environ Health Perspect,2015/09/16
26359141,Toxicological evaluation of isopropylparaben and isobutylparaben mixture in Sprague-Dawley rats following 28 days of dermal exposure,Regul Toxicol Pharmacol,2015/09/12
26358209,Application of the GREAT-ER model for environmental risk assessment of nonylphenol and nonylphenol ethoxylates in China,Environ Sci Pollut Res Int,2015/09/12
25890441,Water-compatible magnetic imprinted nanoparticles served as solid-phase extraction sorbents for selective determination of trace 17beta-estradiol in environmental water samples by liquid chromatography,J Chromatogr A,2015/04/20
25725611,"Environmental, parental and gestational factors that influence the occurrence of hypospadias in male patients",J Pediatr Urol,2015/03/02
25554384,Hypothesis: Activation of rapid signaling by environmental estrogens and epigenetic reprogramming in breast cancer,Reprod Toxicol,2015/01/03
25299844,"Endocrine disruption in human placenta: expression of the dioxin-inducible enzyme, CYP1A1, is correlated with that of thyroid hormone-regulated genes",J Clin Endocrinol Metab,2014/10/10
